"Story","Title","Result","Date","Stability","Duration (s)"
"Cleaning session API - Negative Scenarios","For invalid instructions the API should give a 400 response","ERROR","2023-06-01T15:07:04.6356547-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Negative Scenarios","WHen initial position is out of range the API should give 400 response","ERROR","2023-06-01T15:07:05.5394583-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Negative Scenarios","When we send a room with negative dimensions the API should give 400 response","ERROR","2023-06-01T15:07:05.7250608-07:00[America/Tijuana]","0.0","0.11"
"Cleaning session API - Negative Scenarios","If patches are out of range the API should return 400 response","ERROR","2023-06-01T15:07:05.9068962-07:00[America/Tijuana]","0.0","0.09"
"Cleaning session API - Negative Scenarios","When we send more than two dimensional room API should return an error code","ERROR","2023-06-01T15:07:06.06326-07:00[America/Tijuana]","0.0","0.11"
"Cleaning session API - Negative Scenarios","When we send more than two dimensional initial position API should return an error code","ERROR","2023-06-01T15:07:06.1926973-07:00[America/Tijuana]","0.0","0.11"
"Cleaning session API - Negative Scenarios","When we send more than two dimensional dirt patches API should return an error code","ERROR","2023-06-01T15:07:06.3465582-07:00[America/Tijuana]","0.0","0.11"
"Cleaning session API - Negative Scenarios","When we send no room dimensions API should return 500 error code","ERROR","2023-06-01T15:07:06.4759633-07:00[America/Tijuana]","0.0","0.13"
